@relation BOOKKEEPER_B

@attribute nAuth numeric
@attribute methodHistories numeric
@attribute loc numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute wmc numeric
@attribute returns numeric
@attribute loops numeric
@attribute comparison numeric
@attribute maxNested numeric
@attribute math numeric
@attribute smells numeric
@attribute buggy {yes,no}

@data
"0","0","7","1","0","2","2","0","1","1","0","0","no"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"0","0","4","0","0","1","1","0","0","0","0","0","no"
"0","0","4","0","0","1","1","0","0","0","0","0","no"
"0","0","4","0","0","1","1","0","0","0","0","0","no"
"0","0","4","0","0","1","0","0","0","0","0","0","no"
"0","0","4","0","0","1","1","0","0","0","0","0","no"
"1","1","4","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"0","0","2","0","0","1","0","0","0","0","0","0","no"
"1","1","35","0","1","4","2","0","2","2","0","0","no"
"3","3","6","2","0","6","2","0","0","1","0","0","no"
"0","0","5","0","0","1","0","0","0","0","0","0","no"
"1","1","16","1","2","4","1","1","0","2","2","0","yes"
"2","2","24","0","1","3","1","0","1","1","0","0","yes"
"1","1","17","0","5","3","0","0","1","2","1","0","yes"
"1","1","12","0","1","3","0","1","0","2","1","0","no"
"1","1","8","0","0","2","1","0","1","1","1","0","no"
"2","2","9","0","6","2","1","0","1","1","1","0","yes"
"1","1","12","0","1","4","0","1","0","2","1","0","no"
"1","1","8","0","0","2","1","0","1","1","1","0","no"
"1","1","5","0","0","1","1","0","0","0","0","0","no"
"2","2","24","1","2","6","1","0","1","2","4","0","no"
"1","1","4","0","1","1","0","0","0","0","1","0","no"
"1","1","10","0","0","4","3","0","2","1","0","0","no"
"2","2","4","0","0","1","0","0","0","0","1","0","no"
"1","1","17","0","1","3","2","0","0","2","1","0","no"
"0","0","5","1","0","1","0","0","0","0","0","0","no"
"2","2","5","1","0","1","1","0","0","0","0","0","no"
"0","0","3","1","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","5","0","0","1","0","0","0","0","0","0","no"
"1","1","34","2","1","7","1","0","2","3","3","0","yes"
"2","2","56","0","3","16","4","0","7","3","5","0","yes"
"1","1","12","0","1","2","0","0","0","1","0","0","no"
"1","1","1","1","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","44","1","0","2","1","0","0","1","0","0","no"
"1","1","11","1","0","2","1","0","0","1","1","0","no"
"1","1","20","0","1","1","0","0","0","0","0","0","no"
"1","1","29","0","1","1","0","0","0","0","0","0","no"
"1","1","17","0","0","1","0","0","0","0","0","0","no"
"0","0","15","1","0","2","0","0","0","1","3","0","no"
"1","1","29","0","1","1","0","0","0","0","0","0","no"
"1","1","8","3","1","1","0","0","0","0","0","0","no"
"2","2","9","0","0","2","0","0","0","1","0","0","no"
"0","0","3","2","0","1","1","0","0","0","0","0","no"
"0","0","4","1","0","1","0","0","0","0","0","0","no"
"0","0","3","1","0","1","1","0","0","0","0","0","no"
"2","2","25","0","0","7","5","0","4","1","1","0","no"
"1","1","4","0","0","1","1","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","yes"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","8","1","0","1","0","0","0","0","0","0","no"
"0","0","2","2","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"1","1","28","0","0","7","1","0","0","1","9","0","no"
"0","0","11","0","1","4","1","1","1","2","2","0","no"
"0","0","12","1","1","4","1","1","0","1","4","0","no"
"1","1","5","0","10","2","0","1","0","1","0","0","yes"
"0","0","5","1","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","8","0","0","2","2","0","1","1","2","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","13","0","1","2","1","0","1","1","2","0","no"
"1","1","12","2","1","4","1","0","1","1","0","0","no"
"0","0","40","0","7","5","0","1","1","2","0","0","no"
"0","0","12","1","0","3","0","0","1","2","0","0","no"
"1","1","8","0","0","2","2","0","0","1","0","0","no"
"0","0","4","1","0","1","0","0","0","0","1","0","no"
"0","0","11","1","0","2","0","0","0","1","0","0","no"
"0","0","9","1","0","1","1","0","0","0","0","0","no"
"4","4","176","0","2","36","1","0","6","4","14","0","no"
"0","0","14","1","0","3","0","0","0","1","3","0","no"
"1","1","24","0","0","4","0","0","1","2","2","0","no"
"0","0","9","1","1","2","0","0","0","1","0","0","no"
"0","0","3","1","0","1","0","0","0","0","0","0","no"
"0","0","3","1","0","1","1","0","0","0","0","0","no"
"1","1","36","1","1","8","2","0","1","3","1","0","no"
"2","2","12","1","2","3","0","0","1","1","0","0","no"
"0","0","5","0","0","1","0","0","0","0","1","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"1","1","8","0","0","2","2","0","0","1","1","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","yes"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","10","0","0","2","0","0","1","1","0","0","no"
"1","1","7","0","1","2","0","0","1","1","1","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","9","0","2","2","2","0","0","1","0","0","no"
"1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","1","3","2","0","1","1","0","0","0","0","0","no"
"1","1","3","0","2","1","1","0","0","0","0","0","no"
"1","1","3","1","2","1","1","0","0","0","0","0","no"
"0","0","2","1","0","1","0","0","0","0","0","0","no"
"1","1","9","0","2","2","2","0","0","1","0","0","no"
"1","1","6","2","0","2","2","0","2","1","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","2","1","1","0","0","0","0","0","no"
"1","1","3","0","1","1","1","0","0","0","0","0","no"
"1","1","4","0","1","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","7","0","1","2","0","1","0","1","0","0","no"
"1","1","3","0","2","1","1","0","0","0","0","0","no"
"1","1","3","0","2","1","1","0","0","0","0","0","no"
"1","1","3","0","2","1","1","0","0","0","0","0","no"
"1","1","3","0","1","1","1","0","0","0","0","0","no"
"1","1","3","0","2","1","1","0","0","0","0","0","no"
"1","1","3","1","0","1","0","0","0","0","0","0","no"
"1","1","3","0","2","1","1","0","0","0","0","0","no"
"1","1","16","1","1","3","2","1","1","2","1","0","no"
"1","1","3","12","1","1","1","0","0","0","0","0","no"
"1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","2","1","1","0","0","0","0","0","no"
"0","0","3","1","0","1","0","0","0","0","0","0","no"
"0","0","1","1","0","1","0","0","0","0","0","0","no"
"3","3","10","0","2","3","0","0","0","2","1","0","yes"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","5","1","1","2","1","0","1","1","0","0","yes"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","3","0","2","1","0","0","0","0","0","0","yes"
"0","0","3","0","1","1","0","0","0","0","0","0","no"
"0","0","4","1","0","2","0","0","1","0","0","0","yes"
"0","0","3","1","0","1","1","0","0","0","0","0","yes"
"0","0","5","1","1","2","1","0","1","1","0","0","yes"
"0","0","4","0","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","3","1","0","1","1","0","0","0","0","0","no"
"1","1","11","0","0","3","0","0","0","1","1","0","no"
"0","0","5","0","0","1","0","0","0","1","0","0","yes"
"0","0","12","0","8","2","1","0","1","1","6","0","yes"
"0","0","4","1","0","2","2","0","1","1","1","0","no"
"0","0","3","1","0","1","1","0","0","0","0","0","no"
"0","0","3","2","0","2","1","0","1","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","yes"
"0","0","2","1","0","1","0","0","0","0","0","0","no"
"0","0","3","1","0","1","1","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","8","0","0","1","0","0","0","0","0","0","no"
"0","0","25","3","0","6","2","0","0","2","2","0","no"
"0","0","11","0","1","3","2","0","1","1","0","0","no"
"0","0","14","0","1","3","2","0","1","1","1","0","no"
"0","0","8","0","0","1","0","0","0","0","0","0","no"
"0","0","14","0","1","3","2","0","1","1","1","0","no"
"0","0","5","0","0","1","0","0","0","0","0","0","no"
"0","0","5","0","0","1","0","0","0","0","0","0","no"
"0","0","10","3","1","3","2","0","0","2","0","0","no"
"0","0","7","0","1","2","0","0","0","1","0","0","no"
"0","0","17","0","1","4","0","0","0","2","0","0","no"
"0","0","5","0","1","1","0","0","0","0","0","0","no"
"0","0","17","2","0","4","0","0","0","2","2","0","no"
"0","0","3","1","0","1","0","0","0","0","0","0","no"
"0","0","14","0","1","5","1","0","0","1","1","0","no"
"0","0","8","0","1","2","0","0","0","1","0","0","no"
"0","0","1","1","0","1","0","0","0","0","0","0","no"
"0","0","7","0","0","1","1","0","0","0","0","0","no"
"0","0","13","0","0","1","1","0","0","0","3","0","no"
"0","0","6","0","0","1","1","0","0","0","1","0","no"
"0","0","9","0","0","3","1","1","1","1","3","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","17","2","2","4","1","0","1","2","3","0","no"
"1","1","5","2","0","3","0","0","0","1","1","0","no"
"1","1","7","0","3","5","0","0","0","1","4","0","no"
"1","1","14","2","1","5","3","0","1","1","0","0","no"
"0","0","4","0","1","1","0","0","0","0","0","0","no"
"0","0","4","0","1","1","0","0","0","0","0","0","no"
"1","1","3","1","0","1","0","0","0","0","0","0","no"
"1","1","16","0","1","2","1","0","0","1","1","0","no"
"1","1","21","0","0","10","2","2","3","3","2","0","no"
"0","0","14","0","0","6","0","1","2","4","1","0","no"
"1","1","5","0","0","2","0","0","1","1","0","0","no"
"1","1","10","1","0","3","0","0","0","2","0","0","no"
"0","0","7","0","0","2","1","0","0","1","1","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"0","0","4","0","0","1","0","0","0","0","0","0","no"
"1","1","8","0","1","1","0","0","0","0","0","0","yes"
"1","1","17","0","1","5","2","0","2","2","1","0","no"
"1","1","12","1","0","3","2","0","1","1","0","0","no"
"0","0","5","0","0","1","0","0","0","0","0","0","no"
"1","1","11","0","0","1","0","0","0","1","0","0","no"
"1","1","9","0","0","1","0","0","0","1","0","0","no"
"0","0","24","0","0","3","2","1","0","2","0","0","no"
"1","1","9","0","0","1","1","0","0","1","0","0","no"
"1","1","3","1","0","1","0","0","0","0","0","0","no"
"1","1","10","0","1","2","0","0","0","1","1","0","no"
"0","0","15","0","0","3","1","0","1","1","2","0","no"
"1","1","8","0","1","2","1","0","1","1","1","0","no"
"1","1","3","0","0","1","1","0","0","0","1","0","no"
"0","0","3","1","0","1","1","0","0","0","0","0","no"
"1","1","6","0","1","1","1","0","0","0","0","0","no"
"1","1","12","1","0","3","1","1","0","2","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"0","0","8","0","6","2","1","0","1","1","0","0","no"
"0","0","25","0","0","5","3","0","0","2","2","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","15","0","2","3","2","0","1","1","3","0","no"
"0","0","8","1","0","3","1","1","1","2","0","0","no"
"0","0","3","1","0","1","1","0","0","0","0","0","no"
"1","1","2","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","1","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","8","2","0","2","1","0","1","1","0","0","no"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","1","1","1","0","0","0","0","0","no"
"1","1","13","0","1","1","0","0","0","0","0","0","no"
"1","1","6","0","1","2","1","0","0","1","0","0","no"
"1","1","13","2","0","3","1","1","0","1","0","0","no"
"0","0","5","0","0","1","0","0","0","0","0","0","no"
"1","1","12","1","2","4","1","0","3","1","0","0","no"
"1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","1","13","0","1","1","0","0","0","0","0","0","no"
"1","1","8","0","1","1","0","0","0","0","0","0","no"
"1","1","21","1","5","5","5","0","4","2","0","0","no"
"1","1","40","1","1","16","3","0","8","2","0","0","no"
"1","1","24","2","1","8","1","1","5","2","0","0","no"
"1","1","11","1","0","3","3","0","2","1","0","0","no"
"1","1","3","0","1","1","0","0","0","0","0","0","no"
"0","0","5","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","1","1","0","0","0","0","0","0","no"
"1","1","8","0","1","1","0","0","0","0","0","0","no"
"1","1","3","0","1","1","0","0","0","0","0","0","no"
"1","1","13","0","1","1","0","0","0","0","0","0","no"
"1","1","9","3","1","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","3","1","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"1","1","8","0","0","2","1","0","0","1","1","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"0","0","4","0","0","1","0","0","0","0","0","0","no"
"1","1","30","0","3","5","0","3","0","2","0","0","no"
"1","1","17","0","0","5","4","1","2","2","0","0","no"
"1","1","11","0","3","3","2","1","1","1","0","0","no"
"1","1","8","0","0","2","1","1","0","1","0","0","no"
"0","0","3","1","0","1","0","0","0","0","0","0","no"
"1","1","4","0","0","1","1","0","0","0","0","0","no"
"1","1","4","1","0","1","1","0","0","0","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","20","0","0","4","1","1","2","2","0","0","no"
"0","0","3","1","0","1","0","0","0","0","0","0","no"
"1","1","11","0","0","3","1","1","1","2","0","0","no"
"3","3","27","0","28","6","0","0","0","2","0","0","no"
"2","2","9","0","2","4","0","0","3","1","0","0","no"
"1","1","3","1","0","1","0","0","0","0","0","0","no"
"1","1","4","1","0","1","0","0","0","0","0","0","no"
"1","1","25","1","1","8","1","0","2","3","0","0","no"
"3","3","6","1","0","1","0","0","0","0","0","0","no"
"1","1","30","0","7","3","0","0","0","1","0","0","no"
"0","0","19","1","1","1","0","0","0","0","0","0","no"
"1","1","3","2","1","1","0","0","0","0","0","0","no"
"1","1","25","2","0","4","1","0","0","1","0","0","no"
"1","1","14","1","0","3","0","0","0","1","3","0","no"
"3","3","19","0","2","1","0","0","0","0","0","0","no"
"1","1","4","0","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"1","1","50","1","1","1","0","0","0","0","0","0","yes"
"1","1","57","1","3","11","4","1","1","2","9","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"2","2","24","0","2","5","3","1","0","2","2","0","yes"
"0","0","13","0","0","1","0","0","0","0","0","0","no"
"5","5","33","2","0","6","1","0","0","2","1","0","yes"
"1","1","9","1","0","3","2","1","0","2","0","0","no"
"1","1","6","2","2","1","1","0","0","0","0","0","no"
"2","2","9","0","0","3","2","0","2","1","0","0","no"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"0","0","4","0","0","1","0","0","0","0","0","0","no"
"1","1","18","0","0","5","1","0","1","1","1","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"1","1","1","0","0","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","3","2","0","1","1","0","0","0","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","4","2","0","2","1","0","1","1","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","5","0","2","3","0","0","1","1","0","0","no"
"0","0","4","0","2","2","2","0","0","1","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","3","0","0","1","1","0","0","0","1","0","no"
"0","0","5","0","0","1","0","0","0","0","0","0","no"
"0","0","6","0","0","3","3","0","1","1","0","0","no"
"0","0","6","0","0","3","1","0","2","1","2","0","no"
"1","1","10","0","0","3","1","0","2","1","0","0","no"
"0","0","4","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","2","1","0","1","0","0","0","no"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"0","0","9","0","0","1","0","0","0","0","0","0","no"
